module_name,modified_date,current_version,newest_version,links,notes,tag
Microsoft.ApplicationInsights.dll,2023-11-30 22:35,,,,,
Adyen.dll,2021-01-08 13:06,,,,,
Jenson.Ups.dll,2024-10-07 19:49,,,,,
Mediachase.Search.Extensions.Azure.dll,2022-05-23 08:19,,,,,
FluentMigrator.dll,2018-04-27 06:39,,,,,
Microsoft.EntityFrameworkCore.dll,2023-03-20 17:32,,,,,
EPiServer.Commerce.Azure.dll,2022-05-23 08:19,,,,,
FluentMigrator.Runner.Oracle.dll,2018-04-27 06:39,,,,,
Microsoft.IdentityModel.Tokens.dll,2023-12-01 04:41,,,,,
Microsoft.ApplicationInsights.Profiler.Core.dll,2023-06-27 00:21,,,,,
FluentMigrator.Abstractions.resources.dll,2018-04-27 06:39,,,,,
Microsoft.Dynamics.Retail.Diagnostics.dll,2023-06-26 19:42,,,,,
System.Drawing.Common.dll,2021-10-22 23:49,,,,,
Luminos.Search.Episerver.dll,2024-10-07 19:49,,,,,
Microsoft.Spatial.dll,2023-12-08 12:34,,,,,
Microsoft.ServiceProfiler.Common.Utilities.dll,2023-06-27 00:16,,,,,
Mediachase.Search.LuceneAzureSearchProvider.dll,2022-05-23 08:19,,,,,
Microsoft.ApplicationInsights.AspNetCore.dll,2022-07-19 19:55,,,,,
Microsoft.CodeAnalysis.resources.dll,2021-10-14 18:30,,,,,
Microsoft.CodeAnalysis.CSharp.resources.dll,2021-10-14 18:42,,,,,
System.IO.Packaging.dll,2021-10-22 23:49,,,,,
Microsoft.Identity.Client.Extensions.Msal.dll,2024-04-02 02:05,,,,,
System.Windows.Extensions.dll,2021-10-22 23:49,,,,,
EPiServer.Shell.UI.dll,2024-01-16 11:15,,,,,
Microsoft.ServiceProfiler.Contract.Agent.dll,2023-06-27 00:14,,,,,
Azure.Security.KeyVault.Keys.dll,2021-06-15 23:53,,,,,
Avensia.Storefront.Connector.Common.dll,2023-03-30 13:17,,,,,
FluentMigrator.Runner.Db2.dll,2018-04-27 06:39,,,,,
Riskified.SDK.dll,2024-10-07 19:49,,,,,
EPiServer.Cms.UI.Admin.dll,2024-01-16 11:15,,,,,
Microsoft.ServiceProfiler.EventPipe.Orchestration.dll,2023-06-27 00:25,,,,,
Lucene.Net.Sandbox.dll,2021-03-25 13:12,,,,,
EPiServer.Cms.AspNetCore.Routing.dll,2024-02-05 13:16,,,,,
Microsoft.Win32.SystemEvents.dll,2021-10-22 23:40,,,,,
EPiServer.UI.dll,2024-01-16 11:15,,,,,
HtmlAgilityPack.dll,2022-09-14 13:23,,,,,
EPiServer.Commerce.ODP.dll,2023-09-12 10:33,,,,,
EPiServer.Shell.dll,2024-01-16 11:15,,,,,
MediatR.Contracts.dll,2022-01-10 14:06,,,,,
EPiServer.Licensing.dll,2024-02-05 13:16,,,,,
Microsoft.ServiceProfiler.Orchestration.dll,2023-06-27 00:19,,,,,
Microsoft.IdentityModel.Clients.ActiveDirectory.dll,2016-07-11 12:55,,,,,
Microsoft.CodeAnalysis.resources.dll,2021-10-14 18:30,,,,,
Microsoft.CodeAnalysis.CSharp.resources.dll,2021-10-14 18:42,,,,,
System.Diagnostics.PerformanceCounter.dll,2019-11-15 08:37,,,,,
Microsoft.OData.Client.dll,2023-12-08 12:35,,,,,
Microsoft.AI.PerfCounterCollector.dll,2022-07-19 19:55,,,,,
Mediachase.Commerce.Plugins.Shipping.dll,2023-09-12 10:33,,,,,
Azure.Storage.Common.dll,2023-09-12 19:58,,,,,
BouncyCastle.Crypto.dll,2021-10-19 11:53,,,,,
RazorEngine.NetCore.dll,2020-06-19 15:28,,,,,
Lucene.Net.dll,2021-03-25 13:12,,,,,
EPiServer.Commerce.Shell.dll,2023-09-12 10:33,,,,,
Mediachase.Search.dll,2023-09-12 10:33,,,,,
Jenson.Payment.dll,2024-10-07 19:49,,,,,
FluentMigrator.Extensions.SqlServer.dll,2018-04-27 06:39,,,,,
Microsoft.CodeAnalysis.resources.dll,2021-10-14 18:30,,,,,
Microsoft.CodeAnalysis.CSharp.resources.dll,2021-10-14 18:42,,,,,
EPiServer.Commerce.Bolt.dll,2023-09-12 10:33,,,,,
System.Composition.Convention.dll,2018-05-15 13:29,,,,,
Jenson.Search.dll,2024-10-07 19:49,,,,,
